Player.Name....Team,Player.Total.Votes,Player.Rank,Fan.Total.Votes,Fan.Rank,Media.Total.Votes,Media.Rank,Weighted.Score,conference,court
"Anderson, Ryan -- PHX",3,39,"5,711",104,0,8,63.75,western,frontcourt
"Dieng, Gorgui -- MIN",0,84,"12,079",82,0,8,64,western,frontcourt
"Bender, Dragan -- PHX",1,52,"6,570",98,0,8,64,western,frontcourt
"Lyles, Trey -- DEN",0,84,"11,872",83,0,8,64.5,western,frontcourt
"Porter Jr., Michael -- DEN",0,84,"10,756",85,0,8,65.5,western,frontcourt
"Noah, Joakim -- MEM",0,84,"9,877",88,0,8,67,western,frontcourt
"Layman, Jake -- POR",0,84,"9,714",89,0,8,67.5,western,frontcourt
"Holmes, Richaun -- PHX",1,52,"5,639",105,0,8,67.5,western,frontcourt
"Okafor, Jahlil -- NOP",2,44,"4,247",109,0,8,67.5,western,frontcourt
"Jackson, Justin -- SAC",0,84,"9,271",91,0,8,68.5,western,frontcourt
"Deng, Luol -- MIN",0,84,"9,035",92,0,8,69,western,frontcourt
"Grantham, Donte -- OKC",1,52,"4,492",108,0,8,69,western,frontcourt
"Edwards, Vincent -- HOU",0,84,"7,007",95,0,8,70.5,western,frontcourt
"Swanigan, Caleb -- POR",1,52,"4,009",111,0,8,70.5,western,frontcourt
"Chriss, Marquese -- HOU",0,84,"6,829",96,0,8,71,western,frontcourt
"Tolliver, Anthony -- MIN",0,84,"6,788",97,0,8,71.5,western,frontcourt
"Udoh, Ekpe -- UTA",0,84,"6,518",99,0,8,72.5,western,frontcourt
"Hartenstein, Isaiah -- HOU",0,84,"6,370",100,0,8,73,western,frontcourt
"Green, JaMychal -- MEM",1,52,"3,409",116,0,8,73,western,frontcourt
"Mejri, Salah -- DAL",0,84,"6,322",101,0,8,73.5,western,frontcourt
"Sefolosha, Thabo -- UTA",0,84,"6,236",102,0,8,74,western,frontcourt
"Randolph, Zach -- SAC",0,84,"6,231",103,0,8,74.5,western,frontcourt
"Bates-Diop, Keita -- MIN",0,84,"5,116",106,0,8,76,western,frontcourt
"Spalding, Ray -- DAL",0,84,"4,518",107,0,8,76.5,western,frontcourt
"Gabriel, Wenyen -- SAC",1,52,"2,750",123,0,8,76.5,western,frontcourt
"Bradley, Tony -- UTA",2,44,"2,552",128,0,8,77,western,frontcourt
"Delgado, Angel -- LAC",0,84,"4,204",110,0,8,78,western,frontcourt
"Moore, Ben -- SAS",1,52,"2,606",127,0,8,78.5,western,frontcourt
"Eubanks, Drew -- SAS",0,84,"3,853",112,0,8,79,western,frontcourt
"Scott, Mike -- LAC",0,84,"3,820",113,0,8,79.5,western,frontcourt
"Nunnally, James",0,84,"3,537",114,0,8,80,western,frontcourt
"Welsh, Thomas -- DEN",0,84,"3,439",115,0,8,80.5,western,frontcourt
"Miller, Darius -- NOP",1,52,"2,012",132,0,8,81,western,frontcourt
"Mbah a Moute, Luc -- LAC",0,84,"3,125",117,0,8,81.5,western,frontcourt
"Parsons, Chandler -- MEM",0,84,"3,030",118,0,8,82,western,frontcourt
"Motley, Johnathan -- LAC",1,52,"1,832",134,0,8,82,western,frontcourt
"King, George -- PHX",0,84,"2,964",119,0,8,82.5,western,frontcourt
"Niang, Georges -- UTA",0,84,"2,942",120,0,8,83,western,frontcourt
"Vanderbilt, Jarred -- DEN",0,84,"2,815",121,0,8,83.5,western,frontcourt
"Diallo, Cheick -- NOP",0,84,"2,757",122,0,8,84,western,frontcourt
"Lydon, Tyler -- DEN",0,84,"2,707",124,0,8,85,western,frontcourt
"Metu, Chimezie -- SAS",0,84,"2,695",125,0,8,85.5,western,frontcourt
"Williams, Troy -- SAC",0,84,"2,647",126,0,8,86,western,frontcourt
"Labissiere, Skal -- SAC",0,84,"2,471",129,0,8,87.5,western,frontcourt
"Pondexter, Quincy -- SAS",0,84,"2,367",130,0,8,88,western,frontcourt
"Cavanaugh, Tyler -- UTA",0,84,"2,126",131,0,8,88.5,western,frontcourt
"Johnson, Wesley -- NOP",0,84,"1,919",133,0,8,89.5,western,frontcourt
"Rabb, Ivan -- MEM",0,84,"1,628",135,0,8,90.5,western,frontcourt
"Hill, Solomon -- NOP",0,84,"1,607",136,0,8,91,western,frontcourt
"Stokes, Jarnell",0,84,"1,049",137,0,8,91.5,western,frontcourt
"Moreland, Eric",0,84,538,138,0,8,92,western,frontcourt
