Player.Name....Team,Player.Total.Votes,Player.Rank,Fan.Total.Votes,Fan.Rank,Media.Total.Votes,Media.Rank,Weighted.Score,conference,court
"Mozgov, Timofey -- ORL",0,88,"5,796",104,0,7,75.75,eastern,frontcourt
"Jefferson, Amile -- ORL",2,41,"2,531",128,0,7,76,eastern,frontcourt
to MEM Jan.3),0,88,"5,169",105,0,7,76.25,eastern,frontcourt
"Birch, Khem -- ORL",1,57,"3,196",121,0,7,76.5,eastern,frontcourt
"Robinson, Duncan -- MIA",0,88,"4,918",107,0,7,77.25,eastern,frontcourt
"Thomas, Lance -- NYK",1,57,"2,950",123,0,7,77.5,eastern,frontcourt
"Leaf, TJ -- IND",0,88,"4,656",108,0,7,77.75,eastern,frontcourt
"Iwundu, Wes -- ORL",1,57,"2,704",125,0,7,78.5,eastern,frontcourt
"Graham, Treveon -- BKN",0,88,"4,093",111,0,7,79.25,eastern,frontcourt
"Kornet, Luke -- NYK",0,88,"3,995",112,0,7,79.75,eastern,frontcourt
"Blossomgame, Jaron -- CLE",0,88,"3,962",113,0,7,80.25,eastern,frontcourt
"Poythress, Alex -- ATL",0,88,"3,583",114,0,7,80.75,eastern,frontcourt
"Spellman, Omari -- ATL",0,88,"3,479",115,0,7,81.25,eastern,frontcourt
"Patton, Justin -- PHI",0,88,"3,417",116,0,7,81.75,eastern,frontcourt
"Leuer, Jon -- DET",0,88,"3,391",117,0,7,82.25,eastern,frontcourt
"Johnson, Alize -- IND",0,88,"3,333",118,0,7,82.75,eastern,frontcourt
"Plumlee, Miles -- ATL",0,88,"3,247",119,0,7,83.25,eastern,frontcourt
"Jones, Jalen",0,88,"3,228",120,0,7,83.75,eastern,frontcourt
"Henson, John -- CLE",0,88,"3,018",122,0,7,84.75,eastern,frontcourt
"Mahinmi, Ian -- WAS",0,88,"2,937",124,0,7,85.75,eastern,frontcourt
"Hicks, Isaiah -- NYK",0,88,"2,667",126,0,7,86.75,eastern,frontcourt
"Robinson, Devin -- WAS",0,88,"2,538",127,0,7,87.25,eastern,frontcourt
"Maten, Yante -- MIA",0,88,"2,085",129,0,7,88.25,eastern,frontcourt
"Martin, Jarell -- ORL",0,88,"1,401",130,0,7,88.75,eastern,frontcourt
